All,Vše
"We cannot register an existing credit memo.","Nelze zaregistrovat existující dobropis."
"We found an invalid quantity to invoice item ""%1"".","Bylo nalezeno neplatné množství k fakturaci položky ""%1""."
"The Order State ""%1"" must not be set manually.","Situaci objednávky ""%1"" nelze nastavit ručně."
"VAT Request Identifier","Identifikátor DPH požadavku"
"VAT Request Date","Datum DPH požadavku"
"Pending Payment",Neuhrazená
"On Hold",Pozastavená
Complete,Vyřízená
"Suspected Fraud",Podezřelá
"Payment Review","Ověřování platby"
"Email has not been sent","E-mail nebyl odeslán"
"Authorized amount of %1","Autorizovaná částka z %1"
" Transaction ID: ""%1"""," ID transakce: ""%1"""
"Group was removed","Skupina byla odebrána"
"Changing address information will not recalculate shipping, tax or other order amount.","Při změně údajů adresy nebude přepočítáno přepravné, DPH a ostatní částky."
"No Payment Methods","Žádné způsoby platby"
"Order Comments","Komentáře objednávky"
"Payment &amp; Shipping Information","Způsob přepravy a platby"
"Order Currency:","Měna objednávky:"
"Same As Billing Address","Stejná jako fakturační adresa"
"Select from existing customer addresses:","Zvolit z uložených adres zákazníka:"
"You don't need to select a shipping address.","Doručovací adresu není třeba zvolit."
"Gift Message for the Entire Order","Darovací vzkaz pro celou objednávku"
"Custom Price","Jiná cena"
"Move to Shopping Cart","Přesunout do košíku"
"Sorry, no quotes are available for this order.","Nabídky k této objednávce nejsou momentálně dostupné."
"You don't need to select a shipping method.","Způsob přepravy není třeba zvolit."
"Customer's Activities","Činnosti zákazníka"
"Append Comments","Přidat komentáře"
"Email Order Confirmation","Zaslat potvrzení objednávky e-mailem"
"Grand Total Excl. Tax","Celkem k úhradě bez DPH"
"Grand Total Incl. Tax","Celkem k úhradě s DPH"
"Payment &amp; Shipping Method","Způsob platby a přepravy"
"The order was placed using %1.","Objednáno v měně %1."
"Items to Refund","Produkty ke vrácení"
"Return to Stock","Vrátit na sklad"
"Qty to Refund",Vráceno
"No Items To Refund","Žádné položky ke vrácení"
"Credit Memo Comments","Komentáře dobropisu"
"Refund Totals","Celkem vráceno"
"Email Copy of Credit Memo","Poslat kopii dobropisu emailem"
"Please enter a positive number in this field.","Do tohoto údaje zadejte prosím kladné číslo."
"Items Refunded","Vrácené položky"
"No Items","Žádné položky"
"Memo Total","Dobropisováno celkem"
"Credit Memo History","Historie dobropisu"
"Credit Memo Totals","Dobropis celkem"
"Customer Name: %1","Jméno zákazníka: %1"
"Purchased From: %1","Objednáno v: %1"
"Shipping &amp; Handling","Přepravné a balné"
"Create Shipment","Vytvořit zásilku"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Typy faktury a zásilky neodpovídá některým objednaným položkám. Zásilku můžete vystavit až po vystavení faktury."
"Qty to Invoice","KS k úhradě"
"Invoice History","Historie faktury"
"Invoice Comments","Komentáře faktury"
"Invoice Totals","Celkem fakturováno"
"Capture Online","Získat online"
"Capture Offline","Získat offline"
"Not Capture",Nezískané
"The invoice will be created offline without the payment gateway.","Faktura bude vytvořena offline procesem bez platební brány."
"Email Copy of Invoice","Poslat kopii faktury e-mailem"
"Items Invoiced","Fakturované položky"
"Total Due","Celkem dluží"
"Total Tax","Celkem DPH"
"From Name",Od
"To Name",Pro
"Notification Not Applicable","Oznámení není k dispozici"
"Order & Account Information","Objednávky a nastavení účtu"
"The order confirmation email was sent","Potvrzení objednávky e-mailem bylo odesláno"
"The order confirmation email is not sent","Potvrzení objednávky e-mailem nebylo odesláno"
"Order Date","Datum objednávky"
"Order Date (%1)","Datum objednávky (%1)"
"Purchased From","Kde objednáno"
"Link to the New Order","Odkaz na novou objednávku"
"Link to the Previous Order","Odkaz na předchozí objednávku"
"Placed from IP","Objednáno z IP"
"%1 / %2 rate:","%1 / %2 kurz:"
"Notes for this Order","Komentáře k objednávce"
"Comment added","Komentář byl přidán"
"Transaction Data","Transakční údaje"
"Parent Transaction ID","ID nadřazené transakce"
"Is Closed","Je uzavřená"
"Child Transactions","Podřízené transakce"
"Transaction Details","Údaje transakce"
"Gift Message for this Order","Darovací vzkaz v této objednávce"
"Shipped By",Přepravce
"Tracking Number","Sledovací číslo"
"Billing Last Name","Příjmení z fakturační adresy"
"Find Order By","Najít podle"
"ZIP Code",PSČ
"Billing ZIP Code","PSČ z fakturační adresy"
"Print All Refunds","Tisk všech vratek"
"Refund #","Vratka č."
"Print Refund","Tisk vratky"
"Print Order","Tisk objednávky"
"Print All Invoices","Tisk všech faktur"
"Invoice #","Faktura č."
"Print Invoice","Tisk faktury"
"About Your Order","Vaše objednávka"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Datum objednávky:</span> %1"
"Refund #%1","Vratka č.%1"
"Shipment #%1","Zásilka č.%1"
"Recent Orders","Poslední objednávky"
"Gift Message for This Order","Darovací vzkaz k této objednávce"
"Recently Ordered","Poslední objednané"
"Thank you for your order from %store_name.","Děkujeme Vám za objednávku z %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav objednávky můžete zkontrolovat <a href=""%account_url"">po přihlášení do svého účtu</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Pokud máte k vaší objednávce jakýkoli dotaz, můžete nám napsat na <a href=""mailto:%store_email""> %store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Dobropis č. %creditmemo_id k objednávce č. %order_id"
"Billing Info","Fakturační údaje"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Stav vaší objednávky č. %increment_id byl změněn na <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Faktura č. %invoice_id k objednávce č. %order_id"
"Once your package ships we will send you a tracking number.","Jakmile bude vaše zásilka odeslána, zašleme Vám sledovací číslo balíku."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaše objednávka <span class=""no-link"">č. %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Pořízená v <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Jakmile zásilku odešleme, přijde Vám e-mail s odkazem na sledování trasy."
"Your shipping confirmation is below. Thank you again for your business.","Potvrzení odeslání zásilky je níže. Ještě jednou vám za nákup děkujeme."
"Your Shipment #%shipment_id for Order #%order_id","Zásilka č. #%shipment_id k objednávce č. %order_id"
"Gift Options for ","Darovací zpráva pro "
"You have item changes","Máte změněné položky"
Operations,Operace
"Send Order Email","Zaslat e-mail objednávky"
"Accept or Deny Payment","Přijmout nebo odmítnout platbu"
"Send Sales Emails","Odeslat prodejní e-maily"
"Sales Section","Sekce prodej"
"Sales Emails Section","Sekce Obchodní e-maily"
"Hide Customer IP","Skrýt IP zákazníka"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Určuje, jestli je v objednávkách, fakturách, zásilkách a dobropisech zobrazena IP adresa zákazníka."
"Checkout Totals Sort Order","Řazení celkového součtu"
"Allow Reorder","Povolit znovuobjednání"
"Invoice and Packing Slip Design","Vzhled faktury a zásilky"
"Logo for PDF Print-outs (200x50)","Logo na tiskových PDF výstupech (200×50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Logo bude použito v PDF a HTML dokumentech.<br />(jpeg, tiff, png). Je-li v PDF logo deformované, zkuste použít větší velikost obrázku."
"Logo for HTML Print View","Logo na tiskových HTML výstupech"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo pouze pro HTML dokumenty. Je-li údaj prázdný bude použito výchozí.<br />(jpeg, gif, png)"
"Include Tax to Amount","K částce zahrnout DPH"
"Description Message","Text zprávy"
"Error to Show in Shopping Cart","Chyba zobrazená na stránce košíku"
"Validate Each Address Separately in Multi-address Checkout","Při doručení na více adres ověřovat každou adresu samostatně"
"Multi-address Description Message","Text zprávy při doručení na více adres"
"We'll use the default description above if you leave this empty.","Necháte-li údaj prázdný, bude použit výše uvedený výchozí text."
"Multi-address Error to Show in Shopping Cart","Chyba při doručení na více adres zobrazená na stránce košíku"
"We'll use the default error above if you leave this empty.","Necháte-li údaj prázdný, bude použita výše uvedená výchozí chybová zpráva."
"Use Aggregated Data","Použít agregovaná data"
"Orders Cron Settings","Nastavení cronu objednávek"
"Pending Payment Order Lifetime (minutes)","Čekací doba na úhradu objednávky (minuty)"
"Sales Emails","Obchodní e-maily"
"Asynchronous sending","Asynchronní odesílání"
"New Order Confirmation Email Sender","Odesílatel potvrzení nové objednávky"
"New Order Confirmation Template","Šablona potvrzení nové objednávky"
"New Order Confirmation Template for Guest","Šablona potvrzení nové objednávky hosta"
"Send Order Email Copy To","Poslat kopii objednávky na e-mail"
"Send Order Email Copy Method","Způsob odeslání kopie objednávky"
"Order Comment Email Sender","Odesilatel komentáře k objednávce"
"Order Comment Email Template","Předloha e-mailu komentáře objednávky"
"Order Comment Email Template for Guest","Šablona e-mailu komentáře objednávky hosta"
"Send Order Comment Email Copy To","Poslat kopii komentáře objednávky na e-mail"
"Send Order Comments Email Copy Method","Způsob odeslání kopie komentářů objednávky"
"Invoice Email Sender","Odesílatel e-mailu s fakturou"
"Invoice Email Template","Šablona e-mailu s fakturou"
"Invoice Email Template for Guest","Šablona e-mailu s fakturou hosta"
"Send Invoice Email Copy To","Poslat kopii faktury na e-mail"
"Send Invoice Email Copy Method","Způsob odeslání kopie faktury"
"Invoice Comment Email Sender","Odesilatel komentáře faktury"
"Invoice Comment Email Template","Šablona e-mailu komentáře faktury"
"Invoice Comment Email Template for Guest","Šablona e-mailu komentáře faktury hosta"
"Send Invoice Comment Email Copy To","Poslat kopii komentáře k faktuře na e-mail"
"Send Invoice Comments Email Copy Method","Způsob odeslání kopie komentářů faktury"
"Shipment Email Sender","Odesílatel e-mailu zásilky"
"Shipment Email Template","Předloha e-mailu zásilky"
"Shipment Email Template for Guest","Šablona e-mailu zásilky hosta"
"Send Shipment Email Copy To","Poslat kopii zásilky na e-mail"
"Send Shipment Email Copy Method","Způsob odeslání kopie zásilky"
"Shipment Comments","Komentáře k přepravě"
"Shipment Comment Email Sender","Odesílatel komentáře zásilky"
"Shipment Comment Email Template","Šablona e-mailu komentáře zásilky"
"Shipment Comment Email Template for Guest","Šablona emailu komentáře zásilky hosta"
"Send Shipment Comment Email Copy To","Poslat kopii komentáře zásilky na e-mail"
"Send Shipment Comments Email Copy Method","Způsob odeslání kopie komentářů zásilky"
"Credit Memo Email Sender","Odesílatel dobropisu"
"Credit Memo Email Template","Šablona e-mailu dobropisu"
"Credit Memo Email Template for Guest","Šablona e-mailu dobropisu hosta"
"Send Credit Memo Email Copy To","Odeslat kopii dobropisu na e-mail"
"Send Credit Memo Email Copy Method","Způsob odeslání kopie dobropisu"
"Credit Memo Comment Email Sender","Odesilatel komentáře dobropisu"
"Credit Memo Comment Email Template","Šablona e-mailu komentáře dobropisu"
"Credit Memo Comment Email Template for Guest","Šablona e-mailu komentáře dobropisu hosta"
"Send Credit Memo Comment Email Copy To","Poslat kopii komentáře dobropisu na e-mail"
"Send Credit Memo Comments Email Copy Method","Způsob odeslání kopie komentářů dobropisu"
"PDF Print-outs","Tiskové PDF doklady"
